,document_title,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23,short_answer24,short_answer25,short_answer26,short_answer27,short_answer28,short_answer29,short_answer30
0,Sports in the Las Vegas metropolitan area,is there a basketball team in las vegas,"['YES', 'YES', 'YES', 'YES', 'YES']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Windsor Castle,who lives in the grounds of windsor castle,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of protected areas of the Philippines,list of environmentally critical areas in the philippines,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"After the Bath, Woman Drying Herself",after the bath woman drying herself elements of design,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Super-G,what’s the difference between downhill and super g,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,World Economic Forum,where was the world economic forum held this year,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland","Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland",Davos,Davos,"Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,
0,Redwood National and State Parks,where are the giant redwoods located in california,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Humboldt County,Del Norte County,Humboldt County,Del Norte County,from the northern California coast north to the southern Oregon Coast,the coast of northern California,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Premier League players with 500 or more appearances,who has made the most premier league appearances,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,Gareth Barry,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Chief Ministers of West Bengal,who was the first chief minister of west bengal,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Prafulla Chandra Ghosh of the Indian National Congress,Prafulla Chandra Ghosh,Prafulla Chandra Ghosh,Prafulla Chandra Ghosh,Prafulla Chandra Ghosh,,,,,,,,,,,,,,,,,,,,,,,,,
0,Got My Mind Set on You,who sings got my mind set on you,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",James Ray,George Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of psychological research methods,two main types of research methods used in psychology,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Correlational research,Descriptive research,Experimental research,Qualitative psychological research,Quantitative psychological research,qualitative data,quantitative data,qualitative,quantitative,,,,,,,,,,,,,,,,,,,,,
0,I Only Have Eyes for You (Buffy the Vampire Slayer),i only have eyes for you buffy episode,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,What We Do in the Shadows,who plays peter in what we do in the shadows,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Ben Fransham,Ben Fransham,Ben Fransham,Ben Fransham,Ben Fransham,,,,,,,,,,,,,,,,,,,,,,,,,
0,Republic Day (India),who was the chief guest of india on independence day 2017,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Crown Prince Mohammed bin Zayed Al Nahyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grey's Anatomy (season 14),when does the 14th season of grey's anatomy come out,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","September 28 , 2017","September 28 , 2017","September 28 , 2017","September 28 , 2017","September 28 , 2017",,,,,,,,,,,,,,,,,,,,,,,,,
0,The Hunger Games (novel),when was the first hunger games book published,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",2008,"September 14 , 2008","September 14 , 2008",2008,"September 14 , 2008",,,,,,,,,,,,,,,,,,,,,,,,,
0,The Ocean at the End of the Lane,the ocen at the end of the lane,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Hound of the Baskervilles (2002 film),sherlock holmes hound of the baskervilles movie 2002,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Non-volatile memory,which of the below feature makes the ram not suitable for the persistent storage,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Belonging (album),keith jarrett's long as you know you're living yours,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Adverse event,mandatory elements in the definition of an adverse event (ae),"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","any unfavourable and unintended sign ( including an abnormal laboratory finding ) , symptom , or disease temporally associated with the use of a medicinal ( investigational ) product , whether or not related to the medicinal ( investigational ) product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,National debt of the United States,how much is the united states in debt to china,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","1,200.5",$1.06 trillion,$1.06 trillion,$1.06 trillion,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Grease (film),where did the race in grease take place,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Thunder Road,"the Los Angeles River , between the First and Seventh Street Bridges","at the Los Angeles River , between the First and Seventh Street Bridges",Thunder Road,"at the Los Angeles River , between the First and Seventh Street Bridges",,,,,,,,,,,,,,,,,,,,,,,,,
0,IEEE 802.11,what is the maximum data rate for the 802.11a standard select one,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",54 Mbit / s,54 Mbit / s,54 Mbit / s,54 Mbit / s,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Partial charge,use partial charges to indicate all polar bonds in the following molecules,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Centipede,what is the life cycle of a centipede,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Olympic Games host cities,where are the summer olympics held this year,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Tokyo for the 2020 Summer Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Northern coast of Egypt,which is the nearest country north of egypt,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Substitute good,a good that can be used in place of another good,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",substitute good,substitute good,substitute good,A substitute good,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lord's Prayer,where in the bible can i find the lord's prayer,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Gospel of Matthew in the middle of the Sermon on the Mount,"Gospel of Luke when `` one of his disciples said to him , ' Lord , teach us to pray , as John taught his disciples",the Gospel of Matthew,the Gospel of Luke,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Declaration on the Rights of Indigenous Peoples,what is the un declaration on the rights of indigenous peoples,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,United States presidential elections in Nebraska,when was the last time nebraska voted democrat,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Selena Gomez,what is selena gomez most popular tv show,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Wipro,who become the ceo of it wipro company in 2016,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Abid Ali Neemuchwala,Abid Ali Neemuchwala,Abid Ali Neemuchwala,Abid Ali Neemuchwala,Abid Ali Neemuchwala,,,,,,,,,,,,,,,,,,,,,,,,,
0,Electroencephalography,4 types of brain wave classifications as recognized by an eeg machine,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2018 Winter Olympics,when do they announce the next winter olympics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of regions of the United States,when was each region added to the united states,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Eric van der Woodsen,who does eric end up with in gossip girl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Jenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,She's the Man,who plays unis in she's the man,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Emily Perkins,Emily Perkins,Emily Perkins,Emily Perkins,Emily Perkins,,,,,,,,,,,,,,,,,,,,,,,,,
0,You Need a Mess of Help to Stand Alone (album),saint etienne you need a mess of help to stand alone,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Jingle All the Way,who played booster in jingle all the way,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Curtis Armstrong,Curtis Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Politics of New Zealand,what does left and right mean in nz politics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Comedians in Cars Getting Coffee,season 10 of comedians in cars getting coffee,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dog and pony show,where does the term dog and pony show come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",in the United States in the late - 19th and early - 20th centuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,History of Islam,who is recognized as the founder of islam,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Muhammad,the Islamic prophet Muhammad,Muhammad,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cars 3,where is cars 3 supposed to take place,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Pixel,each dot that makes up a satellite image is called a pixel. true or false,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Air Bud: World Pup,who plays emma in air bud world pup,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Brittany Paige Bouck,Brittany Paige Bouck,Brittany Paige Bouck,Brittany Paige Bouck,Brittany Paige Bouck,,,,,,,,,,,,,,,,,,,,,,,,,
0,Kyoto,why do tokyo and kyoto have the same letters,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sasuke Uchiha,how old was sasuke when his clan died,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",seven,seven,seven,seven,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Training camp (National Football League),how long is training camp for nfl players,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",at least the first few weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Speaker of the National Assembly of Pakistan,the last speaker of the national assembly during ayub’s government was,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Air pollution,where do some of the natural air pollutants come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Carbon dioxide,Dust,the digestion of food by animals,radioactive decay within the Earth 's crust,wildfires,Vegetation,Volcanic activity,,,,,,,,,,,,,,,,,,,,,,,
0,New Birth Missionary Baptist Church,who is the pastor of new birth missionary baptist church now,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Stephen A. Davis,Stephen A. Davis,Stephen A. Davis,"Stephen A. Davis , pastor of New Birth Birmingham in Birmingham , Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,
0,Commonwealth (U.S. insular area),what's the difference between commonwealth and territory,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mountain biking,what are the different types of mountain biking,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Canadian Tire money,how much canadian tire money do you get,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dara,what is the origin of the name dara,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Super Bowl LII halftime show,who is doing 2018 super bowl half time show,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,Justin Timberlake,,,,,,,,,,,,,,,,,,,,,,,,,
0,Super Bowl LII halftime show,who is playing the halftime show for the superbowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Justin Timberlake,Justin Timberlake,Justin Timberlake,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Document,collection of all types of documents used in the banks and office definition,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2009 National Artist of the Philippines controversy,who is the national artist for visual who was conferred and died of the same year 1999,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,They Think It's All Over (TV series),who hosted they think it's all over,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",comedian Nick Hancock,Nick Hancock,Lee Mack,Des Lynam,Nick Hancock,Lee Mack,Des Lynam,Nick Hancock,Lee Mack,,,,,,,,,,,,,,,,,,,,,
0,Proof of Life,where does the movie proof of life take place,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",The Republic of Tecala,the ( fictional ) South American country of Tecala,the ( fictional ) South American country of Tecala,the ( fictional ) South American country of Tecala,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Monkey's uncle,where did the saying monkey's uncle come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Scopes Trial in the United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of tie-breaking votes cast by vice presidents of the United States,who breaks a tie in the us senate,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Vice President of the United States,The Vice President of the United States,The Vice President of the United States,Vice President of the United States,The Vice President of the United States,,,,,,,,,,,,,,,,,,,,,,,,,
0,Robin and the 7 Hoods,robin and the 7 hoods mr booze scene,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Joule,derived s.i. unit of joule (j) in terms of fundamental units,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Coming to America,where was the movie coming to america shot,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,U.S. Route 1,where does us highway 1 start and end,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']","from Fort Kent , Maine , at the Canada -- US border , south to Key West , Florida","from Fort Kent , Maine , at the Canada -- US border","to Key West , Florida","Fort Kent , Maine","Key West , Florida",,,,,,,,,,,,,,,,,,,,,,,,,
0,Charlie's Angels: Full Throttle,who played in charlie's angels full throttle,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of National Basketball Association single-game scoring leaders,who scored the most points in a single game in the nba,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Wilt Chamberlain,Wilt Chamberlain,Wilt Chamberlain,Wilt Chamberlain,Wilt Chamberlain,,,,,,,,,,,,,,,,,,,,,,,,,
0,Natural gas in the United States,where is natural gas found in the us,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Texas,Louisiana,Arkansas,New Mexico,Colorado,Pennsylvania,West Virginia,Wyoming,Pennsylvania,West Virginia,Texas,Louisiana,Arkansas,New Mexico,Colorado,Wyoming,,,,,,,,,,,,,,
0,"Indian general election, 1951–52",when were the first general elections held in independent india,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",1951 -- 52,1951 -- 52,1951 -- 52,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tower of London,what was the tower of london originally used for,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",a royal residence,a royal residence,as a royal residence,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Marjory Stoneman Douglas High School,stoneman douglas high school in parkland florida demographics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Zippo,what type of fuel goes in a zippo,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",butane,lighter fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,G. Sankara Kurup,first jnanpith award was an autor of which language,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Malayalam,Malayalam,Malayalam,Malayalam,Malayalam,,,,,,,,,,,,,,,,,,,,,,,,,
0,War of the Worlds (2005 film),what happened to the son in war of the worlds,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Karl Urban,who played scotty in the new star trek movie,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dennis Quaid,who played the agent in i can only imagine,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of Batman television series cast members,who played the mad hatter in the batman tv show,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",David Wayne,David Wayne,Roddy McDowall,Benedict Samuel,David Wayne,David Wayne,,,,,,,,,,,,,,,,,,,,,,,,
0,Beep Beep (song),hey buddy how can i get this car out of second gear,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cracker Barrel,how many cracker barrels in the united states,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",more than 600,639,639,639,639,,,,,,,,,,,,,,,,,,,,,,,,,
0,C4 carbon fixation,in photosynthesis the carbon in co2 is initially fixed to what molecule,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",3 - phosphoglycerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,F Is for Family,who voices randy in f is for family,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",T.J. Miller,T.J. Miller,T.J. Miller,T.J. Miller,T.J. Miller,,,,,,,,,,,,,,,,,,,,,,,,,
0,You Are the Apple of My Eye,you are the apple of my eye poster,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Lip Reader,who played the ice cream man in this is us,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cadbury,how many countries does cadbury sell its products,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",more than 50 countries worldwide,more than 50 countries worldwide,more than 50,more than 50,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Western Conference (NBA),who is playing in the western conference finals,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,False awakening,what does it mean to dream about waking up,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ethiopian Airlines Flight 961,ethiopia flight 961 crashes in to the sea,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",23 November 1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ISTJ,what does istj mean in a personality test,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Introverted Sensing ( Si ),Extroverted Thinking ( Te ),Introverted Feeling ( Fi ),Extroverted Intuition ( Ne ),,,,,,,,,,,,,,,,,,,,,,,,,,
0,A.P. Bio,who plays the ex girlfriend on ap bio,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Vertebral column,where is the vertebral column located in the human body,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Skin in the game (phrase),where does the term skin in the game come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mount St. Helens,where is mount st. helens located on a map,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Great Wall of China,when was the great wall of cina built,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Habitat fragmentation,extinction can be the result of habitat fragmentation,"['NONE', 'NONE', 'NONE', 'YES', 'YES']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Live by the sword, die by the sword",if you live by the sword you die by the sword lyrics,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Weaver (surname),where did the last name weaver come from,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Public land,list five types of public lands in the united states,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Sing (2016 American film),who does the voice of ash in sing,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,Scarlett Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Paris Peace Conference, 1919",after wwi some colonies that had participated made demands for independence primarily because,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1989 Loma Prieta earthquake,facts about the loma prieta earthquake of 1989,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of National Basketball Association career scoring leaders,who scored the most points in their nba career,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Kareem Abdul - Jabbar,Kareem Abdul - Jabbar,Kareem Abdul - Jabbar,Kareem Abdul - Jabbar,Kareem Abdul - Jabbar,,,,,,,,,,,,,,,,,,,,,,,,,
0,Seattle Seahawks,when did the 49ers last won a superbowl,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,List of U.S. states and territories by population density,with a land area of 54 314 square miles where does wisconsin rank among the 50 states,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mary River (Queensland),where does the mary river start and finish,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Mary's Boy Child,who sang mary's boy child in 1957 and 1978,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,The Haves and the Have Nots (TV series),who plays charles on have and have nots,"['NONE', 'NONE', 'NONE', 'NONE', 'NONE']",Nick Sager,Nick Sagar,Nick Sagar,Nick Sager,Nick Sagar,,,,,,,,,,,,,,,,,,,,,,,,,
